Loan ID,Month,Origination Date,Loan Age,Quarter,FICO Score,LTV,Interest Rate,DSCR,Credit Utilization,Credit Score,Original Balance,Current Balance
LOAN_000001,2,3/15/2022,24,2024Q1,720,80.25,4.125,1.85,25.5,718,350000,315000
LOAN_000002,3,11/5/2020,39,2024Q1,675,85.5,4.75,1.5,40,670,450000,375000
LOAN_000003,1,1/20/2021,36,2024Q1,780,75,3.5,2,10,782,600000,525000
LOAN_000004,4,5/10/2019,60,2024Q2,640,90,5.25,1.2,65,635,200000,180000
LOAN_000005,2,1/15/2023,12,2024Q1,700,78,4,1.75,35,705,300000,270000
LOAN_000006,5,8/25/2022,20,2024Q2,760,82.5,3.875,2.25,15,758,500000,450000
LOAN_000007,3,4/18/2021,34,2024Q1,690,88,4.5,1.4,55,688,450000,405000
LOAN_000008,2,10/12/2023,6,2024Q1,730,79,4.05,1.8,20,735,250000,240000
LOAN_000009,1,12/30/2020,37,2024Q1,710,76.5,4.2,1.95,30,712,800000,720000
LOAN_000010,4,6/1/2022,22,2024Q2,695,81,4.3,1.6,45,690,300000,250000
LOAN_000011,2,1/22/2023,1,2023Q1,687,83.91,4.641,2.16,44.2,685,253730,247726
LOAN_000011,3,1/22/2023,2,2023Q1,687,83.91,4.641,2.14,34,685,253730,241722
LOAN_000011,4,1/22/2023,3,2023Q2,687,83.91,4.641,2.04,34,685,253730,235718
LOAN_000011,5,1/22/2023,4,2023Q2,687,83.91,4.641,1.9,37.6,685,253730,229715
LOAN_000011,6,1/22/2023,5,2023Q2,687,83.91,4.641,2.03,27.7,685,253730,223711
LOAN_000011,7,1/22/2023,6,2023Q3,687,83.91,4.641,2.12,31.3,685,253730,217707
LOAN_000011,8,1/22/2023,7,2023Q3,687,83.91,4.641,1.95,31.8,685,253730,211704
LOAN_000011,9,1/22/2023,8,2023Q3,687,83.91,4.641,2.06,43.7,685,253730,205700
LOAN_000011,10,1/22/2023,9,2023Q4,687,83.91,4.641,1.94,36.7,685,253730,199696
LOAN_000012,3,2/15/2021,1,2021Q1,726,80.13,4.276,1.69,28.7,735,437251,430622
LOAN_000012,4,2/15/2021,2,2021Q2,726,80.13,4.276,1.93,37.2,735,437251,423993
LOAN_000012,5,2/15/2021,3,2021Q2,726,80.13,4.276,1.81,30.6,735,437251,417365
LOAN_000012,6,2/15/2021,4,2021Q2,726,80.13,4.276,1.73,26.5,735,437251,410736
LOAN_000012,7,2/15/2021,5,2021Q3,726,80.13,4.276,1.92,30.2,735,437251,404108
LOAN_000013,1,12/20/2020,1,2021Q1,656,85.22,4.915,1.73,51.2,651,399026,390058
LOAN_000013,2,12/20/2020,2,2021Q1,656,85.22,4.915,1.66,39.9,651,399026,381091
LOAN_000013,3,12/20/2020,3,2021Q1,656,85.22,4.915,1.52,34.7,651,399026,372123
LOAN_000013,4,12/20/2020,4,2021Q2,656,85.22,4.915,1.48,30.1,651,399026,363156
LOAN_000013,5,12/20/2020,5,2021Q2,656,85.22,4.915,1.53,42.6,651,399026,354189
LOAN_000013,6,12/20/2020,6,2021Q2,656,85.22,4.915,1.75,41.8,651,399026,345221
LOAN_000013,7,12/20/2020,7,2021Q3,656,85.22,4.915,1.68,40.5,651,399026,336254
LOAN_000013,8,12/20/2020,8,2021Q3,656,85.22,4.915,1.61,35,651,399026,327286
LOAN_000013,9,12/20/2020,9,2021Q3,656,85.22,4.915,1.51,46.8,651,399026,318319
LOAN_000013,10,12/20/2020,10,2021Q4,656,85.22,4.915,1.79,44.2,651,399026,309352
LOAN_000013,11,12/20/2020,11,2021Q4,656,85.22,4.915,1.45,41.7,651,399026,300384
LOAN_000013,12,12/20/2020,12,2021Q4,656,85.22,4.915,1.61,41.1,651,399026,291417
LOAN_000013,1,12/20/2020,13,2022Q1,656,85.22,4.915,1.69,41.8,651,399026,282449
LOAN_000013,2,12/20/2020,14,2022Q1,656,85.22,4.915,1.54,35.6,651,399026,273482
LOAN_000013,3,12/20/2020,15,2022Q1,656,85.22,4.915,1.52,38.7,651,399026,264515
LOAN_000013,4,12/20/2020,16,2022Q2,656,85.22,4.915,1.61,40.2,651,399026,255547
LOAN_000013,5,12/20/2020,17,2022Q2,656,85.22,4.915,1.52,52.6,651,399026,246580
LOAN_000013,6,12/20/2020,18,2022Q2,656,85.22,4.915,1.66,35.5,651,399026,237612
LOAN_000013,7,12/20/2020,19,2022Q3,656,85.22,4.915,1.85,43.8,651,399026,228645
LOAN_000013,8,12/20/2020,20,2022Q3,656,85.22,4.915,1.7,47.6,651,399026,219678
LOAN_000013,9,12/20/2020,21,2022Q3,656,85.22,4.915,1.71,40.9,651,399026,210710
LOAN_000013,10,12/20/2020,22,2022Q4,656,85.22,4.915,1.59,36.4,651,399026,201743
LOAN_000013,11,12/20/2020,23,2022Q4,656,85.22,4.915,1.6,32,651,399026,192775
LOAN_000013,12,12/20/2020,24,2022Q4,656,85.22,4.915,1.6,44.3,651,399026,183808
LOAN_000014,12,11/14/2019,1,2019Q4,699,74.92,4.492,1.3,33.4,680,443034,435404
LOAN_000014,1,11/14/2019,2,2020Q1,699,74.92,4.492,1.42,34.3,680,443034,427774
LOAN_000014,2,11/14/2019,3,2020Q1,699,74.92,4.492,1.4,44.6,680,443034,420145
LOAN_000014,3,11/14/2019,4,2020Q1,699,74.92,4.492,1.37,36.4,680,443034,412515
