Identifier,Monthly Reporting Period,Channel,Seller Name,Servicer Name,Master Servicer,Original Interest Rate,Current Interest Rate,Spread,Original UPB,UPB at Issuance,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Loan Age,Remaining Months to Legal Maturity,Remaining Months To Maturity,Maturity Date,Original LTV,Oringal CLTV,Number of Borrowers,Debt-To-Income,Borrower Credit Score at Origination,Co-Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Property State,MSA_code,Zip Code Short,Mortgage Insurance Percentage,Amortization Type,Prepayment Penalty Indicator,Interest Only Loan Indicator,Interest Only First Principal And Interest Payment Date,Months to Amortization,Current Loan Delinquency Status,Loan Payment History,Modification Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100023000000,82009,R,Other,Other,,5.375,5.375,0,55000,,0,240,82009,102009,-1,241,240,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,92009,R,Other,Other,,5.375,5.375,0,55000,,0,240,82009,102009,0,240,240,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,102009,R,Other,Other,,5.375,5.375,0,55000,,0,240,82009,102009,1,239,238,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,112009,R,Other,Other,,5.375,5.375,0,55000,,0,240,82009,102009,2,238,238,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,122009,R,Other,Other,,5.375,5.375,0,55000,,0,240,82009,102009,3,237,236,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,12010,R,Other,Other,,5.375,5.375,0,55000,,0,240,82009,102009,4,236,235,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,22010,R,Other,Other,,5.375,5.375,0,55000,,54350.98,240,82009,102009,5,235,235,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,32010,R,Other,Other,,5.375,5.375,0,55000,,54219.43,240,82009,102009,6,234,234,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,42010,R,Other,Other,,5.375,5.375,0,55000,,53954.56,240,82009,102009,7,233,232,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,52010,R,Other,Other,,5.375,5.375,0,55000,,53954.56,240,82009,102009,8,232,232,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
